bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1993410,3156197,text,16850,text/html,Introduced,https://legiscan.com/IA/text/HF815/id/3156197,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF815.html
1993249,3156042,text,241263,text/html,Introduced,https://legiscan.com/IA/text/HF816/id/3156042,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF816.html
1993289,3156080,text,17052,text/html,Introduced,https://legiscan.com/IA/text/HF817/id/3156080,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF817.html
1993315,3156105,text,59587,text/html,Introduced,https://legiscan.com/IA/text/HF818/id/3156105,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF818.html
1993105,3155905,text,28103,text/html,Introduced,https://legiscan.com/IA/text/HF819/id/3155905,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF819.html
1993272,3156064,text,28664,text/html,Introduced,https://legiscan.com/IA/text/HF820/id/3156064,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF820.html
1993361,3156150,text,23284,text/html,Introduced,https://legiscan.com/IA/text/HF821/id/3156150,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF821.html
1993134,3155934,text,33690,text/html,Introduced,https://legiscan.com/IA/text/HF822/id/3155934,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF822.html
1993399,3156186,text,30253,text/html,Introduced,https://legiscan.com/IA/text/HF823/id/3156186,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF823.html
1993391,3156179,text,53784,text/html,Introduced,https://legiscan.com/IA/text/HF824/id/3156179,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF824.html
1993483,3156268,text,14340,text/html,Introduced,https://legiscan.com/IA/text/HF825/id/3156268,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF825.html
1993483,3190872,text,21036,text/html,Amended,https://legiscan.com/IA/text/HF825/id/3190872,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF825.html
1993282,3156074,text,52494,text/html,Introduced,https://legiscan.com/IA/text/HF826/id/3156074,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF826.html
1993260,3156052,text,174561,text/html,Introduced,https://legiscan.com/IA/text/HF827/id/3156052,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF827.html
1994630,3158395,text,65620,text/html,Introduced,https://legiscan.com/IA/text/HF828/id/3158395,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF828.html
1994441,3158233,text,148510,text/html,Introduced,https://legiscan.com/IA/text/HF829/id/3158233,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF829.html
1994621,3158387,text,29579,text/html,Introduced,https://legiscan.com/IA/text/HF830/id/3158387,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF830.html
1994704,3158454,text,79844,text/html,Introduced,https://legiscan.com/IA/text/HF831/id/3158454,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF831.html
1994610,3158378,text,21277,text/html,Introduced,https://legiscan.com/IA/text/HF832/id/3158378,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF832.html
1994564,3158337,text,826632,text/html,Introduced,https://legiscan.com/IA/text/HF833/id/3158337,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF833.html
1994436,3158229,text,1063265,text/html,Introduced,https://legiscan.com/IA/text/HF834/id/3158229,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF834.html
1994644,3158407,text,126884,text/html,Introduced,https://legiscan.com/IA/text/HF835/id/3158407,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF835.html
1994644,3205387,text,116401,text/html,Amended,https://legiscan.com/IA/text/HF835/id/3205387,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF835.html
1994644,3225395,text,113643,text/html,Enrolled,https://legiscan.com/IA/text/HF835/id/3225395,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF835.html
1994653,3158414,text,14452,text/html,Introduced,https://legiscan.com/IA/text/HF836/id/3158414,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF836.html
1994480,3158265,text,119868,text/html,Introduced,https://legiscan.com/IA/text/HF837/id/3158265,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF837.html
1994498,3158279,text,45125,text/html,Introduced,https://legiscan.com/IA/text/HF838/id/3158279,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF838.html
