bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1942889,3084037,text,83421,text/html,Introduced,https://legiscan.com/IA/text/HF139/id/3084037,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF139.html
1917199,3054242,text,25413,text/html,Introduced,https://legiscan.com/IA/text/HF14/id/3054242,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF14.html
1942965,3084106,text,197292,text/html,Introduced,https://legiscan.com/IA/text/HF140/id/3084106,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF140.html
1942910,3084056,text,18443,text/html,Introduced,https://legiscan.com/IA/text/HF141/id/3084056,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF141.html
1943047,3084182,text,93370,text/html,Introduced,https://legiscan.com/IA/text/HF142/id/3084182,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF142.html
1943065,3084198,text,103686,text/html,Introduced,https://legiscan.com/IA/text/HF143/id/3084198,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF143.html
1943151,3084275,text,154919,text/html,Introduced,https://legiscan.com/IA/text/HF144/id/3084275,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF144.html
1943151,3091931,text,68630,text/html,Amended,https://legiscan.com/IA/text/HF144/id/3091931,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF144.html
1943151,499808,supplement,98706,application/pdf,Fiscal Note,https://legiscan.com/IA/supplement/HF144/id/499808,https://www.legis.iowa.gov/docs/publications/FN/1520874.pdf
1945670,3087918,text,33659,text/html,Introduced,https://legiscan.com/IA/text/HF145/id/3087918,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF145.html
1945958,3088193,text,20540,text/html,Introduced,https://legiscan.com/IA/text/HF146/id/3088193,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF146.html
1945849,3088087,text,22769,text/html,Introduced,https://legiscan.com/IA/text/HF147/id/3088087,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF147.html
1947778,3090507,text,35164,text/html,Introduced,https://legiscan.com/IA/text/HF148/id/3090507,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF148.html
1947997,3090695,text,33001,text/html,Introduced,https://legiscan.com/IA/text/HF149/id/3090695,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF149.html
1917140,3054190,text,97157,text/html,Introduced,https://legiscan.com/IA/text/HF15/id/3054190,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF15.html
1948105,3090789,text,16441,text/html,Introduced,https://legiscan.com/IA/text/HF150/id/3090789,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF150.html
1947915,3090625,text,287516,text/html,Introduced,https://legiscan.com/IA/text/HF151/id/3090625,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF151.html
1947805,3090529,text,57586,text/html,Introduced,https://legiscan.com/IA/text/HF152/id/3090529,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF152.html
1948042,3090735,text,13766,text/html,Introduced,https://legiscan.com/IA/text/HF153/id/3090735,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF153.html
1947821,3090544,text,21114,text/html,Introduced,https://legiscan.com/IA/text/HF154/id/3090544,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF154.html
1948197,3090869,text,12365,text/html,Introduced,https://legiscan.com/IA/text/HF155/id/3090869,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF155.html
1948028,3090722,text,28669,text/html,Introduced,https://legiscan.com/IA/text/HF156/id/3090722,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF156.html
1947927,3090634,text,24564,text/html,Introduced,https://legiscan.com/IA/text/HF157/id/3090634,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF157.html
1948185,3090858,text,14133,text/html,Introduced,https://legiscan.com/IA/text/HF158/id/3090858,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF158.html
1948240,3090907,text,14086,text/html,Introduced,https://legiscan.com/IA/text/HF159/id/3090907,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF159.html
1917157,3054205,text,22236,text/html,Introduced,https://legiscan.com/IA/text/HF16/id/3054205,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF16.html
1947965,3090667,text,34165,text/html,Introduced,https://legiscan.com/IA/text/HF160/id/3090667,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF160.html
1947952,3090656,text,31666,text/html,Introduced,https://legiscan.com/IA/text/HF161/id/3090656,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF161.html
1948120,3090801,text,43720,text/html,Introduced,https://legiscan.com/IA/text/HF162/id/3090801,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF162.html
1947736,3090471,text,82065,text/html,Introduced,https://legiscan.com/IA/text/HF163/id/3090471,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF163.html
1947726,3090463,text,13039,text/html,Introduced,https://legiscan.com/IA/text/HF164/id/3090463,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF164.html
1948226,3090893,text,39543,text/html,Introduced,https://legiscan.com/IA/text/HF165/id/3090893,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF165.html
1947748,3090482,text,46322,text/html,Introduced,https://legiscan.com/IA/text/HF166/id/3090482,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF166.html
1947888,3090602,text,23317,text/html,Introduced,https://legiscan.com/IA/text/HF167/id/3090602,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF167.html
1947903,3090615,text,29289,text/html,Introduced,https://legiscan.com/IA/text/HF168/id/3090615,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF168.html
1948146,3090825,text,36480,text/html,Introduced,https://legiscan.com/IA/text/HF169/id/3090825,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF169.html
1917031,3054090,text,46914,text/html,Introduced,https://legiscan.com/IA/text/HF17/id/3054090,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF17.html
